AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
524.0,328.0,1764.0,436.0,443.0,549.0,300.0,398.0,91.0,2424.0,343.0,53.0,92.0,1428.0,626.0,1026.0,132.0,162.0,944.0,0.0,335.0,143.0,418.0,149.0,209.0,3687.0,0.0
293.0,584.0,1065.0,262.0,899.0,473.0,390.0,89.0,53.0,1595.0,330.0,165.0,101.0,690.0,315.0,973.0,160.0,113.0,3379.0,175.0,92.0,0.0,134.0,89.0,183.0,1603.0,266.0
341.0,468.0,415.0,231.0,305.0,590.0,292.0,358.0,27.0,1492.0,294.0,77.0,130.0,2551.0,193.0,607.0,170.0,124.0,1386.0,698.0,67.0,125.0,89.0,179.0,134.0,1464.0,0.0
280.0,376.0,1667.0,383.0,362.0,836.0,280.0,524.0,191.0,1867.0,554.0,86.0,150.0,2516.0,903.0,488.0,246.0,183.0,726.0,158.0,225.0,118.0,226.0,141.0,287.0,2392.0,162.0
470.0,522.0,1559.0,652.0,504.0,254.0,551.0,595.0,200.0,1834.0,495.0,76.0,165.0,1789.0,1290.0,1065.0,277.0,201.0,2374.0,0.0,369.0,277.0,263.0,356.0,177.0,3466.0,419.0
349.0,476.0,2638.0,533.0,893.0,546.0,539.0,719.0,195.0,2503.0,675.0,94.0,176.0,3461.0,923.0,794.0,260.0,273.0,2488.0,833.0,390.0,139.0,1186.0,628.0,244.0,6382.0,0.0
241.0,563.0,2763.0,317.0,954.0,574.0,422.0,700.0,420.0,2138.0,546.0,62.0,177.0,2164.0,879.0,1542.0,242.0,259.0,3067.0,939.0,250.0,201.0,609.0,530.0,306.0,5691.0,334.0
231.0,604.0,1651.0,844.0,709.0,9427.0,752.0,534.0,88.0,2019.0,398.0,71.0,151.0,563.0,851.0,1172.0,186.0,238.0,4467.0,0.0,241.0,175.0,399.0,250.0,343.0,5586.0,370.0
147.0,1065.0,818.0,289.0,766.0,667.0,306.0,253.0,117.0,658.0,834.0,79.0,72.0,102.0,300.0,1023.0,188.0,214.0,968.0,606.0,199.0,218.0,90.0,257.0,194.0,2556.0,195.0
107.0,549.0,396.0,288.0,506.0,2015.0,730.0,595.0,291.0,1328.0,206.0,78.0,151.0,2053.0,533.0,450.0,387.0,148.0,1142.0,225.0,0.0,158.0,164.0,461.0,234.0,1598.0,169.0
139.0,722.0,1421.0,621.0,2532.0,4179.0,746.0,866.0,469.0,1549.0,269.0,156.0,181.0,3638.0,1164.0,608.0,322.0,335.0,2202.0,916.0,535.0,293.0,423.0,162.0,322.0,6999.0,138.0
214.0,848.0,1152.0,596.0,1021.0,1373.0,764.0,970.0,215.0,2455.0,1071.0,123.0,212.0,2821.0,1159.0,955.0,236.0,332.0,2508.0,133.0,237.0,0.0,479.0,374.0,434.0,5188.0,215.0
342.0,689.0,2126.0,444.0,1012.0,3739.0,903.0,773.0,401.0,2684.0,1024.0,72.0,359.0,3000.0,1561.0,1044.0,653.0,328.0,1692.0,151.0,745.0,688.0,612.0,498.0,211.0,5717.0,484.0
263.0,843.0,1193.0,776.0,2956.0,2381.0,1285.0,1215.0,503.0,2157.0,961.0,135.0,205.0,4387.0,1000.0,1004.0,388.0,539.0,2134.0,16.0,403.0,407.0,573.0,314.0,377.0,5365.0,323.0
241.0,879.0,1119.0,446.0,977.0,1399.0,1642.0,841.0,165.0,2123.0,944.0,121.0,195.0,0.0,1208.0,850.0,373.0,259.0,1467.0,0.0,839.0,291.0,454.0,439.0,395.0,5984.0,139.0
458.0,888.0,484.0,272.0,854.0,696.0,773.0,669.0,87.0,944.0,764.0,71.0,245.0,411.0,523.0,881.0,143.0,294.0,3223.0,1439.0,409.0,239.0,98.0,280.0,318.0,2524.0,0.0
144.0,633.0,548.0,249.0,465.0,1947.0,325.0,1040.0,445.0,834.0,180.0,131.0,210.0,3299.0,641.0,463.0,306.0,134.0,1743.0,139.0,516.0,288.0,115.0,177.0,437.0,1520.0,408.0
330.0,854.0,1417.0,477.0,1766.0,2805.0,1142.0,1305.0,634.0,2698.0,219.0,142.0,261.0,3066.0,1501.0,305.0,432.0,289.0,3480.0,541.0,594.0,291.0,552.0,450.0,399.0,5545.0,205.0
289.0,983.0,1615.0,852.0,2204.0,2924.0,1343.0,1427.0,444.0,1439.0,1399.0,256.0,258.0,2769.0,1580.0,925.0,464.0,524.0,1394.0,1666.0,630.0,247.0,817.0,402.0,489.0,6178.0,272.0
345.0,1024.0,1140.0,543.0,1206.0,2745.0,1074.0,1037.0,394.0,2172.0,947.0,148.0,324.0,1746.0,1338.0,1059.0,514.0,635.0,1402.0,310.0,697.0,118.0,549.0,359.0,441.0,6204.0,215.0
204.0,831.0,1122.0,517.0,774.0,1092.0,889.0,1074.0,152.0,1925.0,1658.0,234.0,304.0,1177.0,1186.0,878.0,488.0,249.0,2009.0,245.0,677.0,130.0,216.0,212.0,478.0,5380.0,187.0
239.0,856.0,915.0,639.0,1123.0,645.0,563.0,509.0,15.0,1254.0,508.0,198.0,349.0,2128.0,898.0,799.0,328.0,535.0,1052.0,382.0,408.0,33.0,243.0,131.0,1332.0,4975.0,41.0
108.0,1312.0,480.0,190.0,613.0,404.0,912.0,458.0,19.0,991.0,767.0,118.0,369.0,768.0,559.0,590.0,204.0,353.0,736.0,43.0,233.0,6.0,34.0,64.0,1102.0,5327.0,165.0
129.0,727.0,271.0,301.0,1219.0,3020.0,813.0,1183.0,2481.0,742.0,347.0,234.0,282.0,2019.0,655.0,246.0,524.0,133.0,1374.0,998.0,315.0,54.0,777.0,600.0,1707.0,3258.0,172.0
232.0,706.0,1241.0,1211.0,1586.0,2316.0,1696.0,1378.0,1395.0,2119.0,296.0,379.0,487.0,2949.0,1460.0,920.0,678.0,851.0,2397.0,478.0,830.0,215.0,1033.0,442.0,635.0,8825.0,264.0
336.0,1235.0,1529.0,594.0,1720.0,3437.0,1760.0,1477.0,940.0,2024.0,1323.0,110.0,484.0,2431.0,1584.0,1019.0,540.0,535.0,3620.0,199.0,557.0,271.0,657.0,613.0,497.0,1232.0,201.0
